"Adobe","airliquidegroup","Alstom","ArcelorMittal","Capgemini","Cisco","ENGIEgroup","Forrester","Generalelectric","Intel","MaerskLine","Oracle","PublicisGroupe","Rexel_Group","SAFRAN","Salesforce","SolvayGroup","TechnipGroup","VMware","VolvoTrucksFR"
"Topic 48 - 7193.55","Topic 46 - 6291.95","Topic 25 - 5537.43","Topic 24 - 7187.11","Topic 23 - 6863.69","Topic 55 - 7346.62","Topic 3 - 5992.85","Topic 42 - 6510.43","Topic 1 - 6800.93","Topic 12 - 6141.91","Topic 97 - 6068.57","Topic 1 - 7653.60","Topic 3 - 6529.71","Topic 89 - 7483.11","Topic 96 - 6124.28","Topic 47 - 7293.31","Topic 25 - 7012.74","Topic 21 - 1829.71","Topic 23 - 6749.07","Topic 49 - 0.00"
"Topic 36 - 7008.10","Topic 22 - 6017.20","Topic 48 - 5454.45","Topic 30 - 7068.05","Topic 80 - 6827.77","Topic 39 - 7117.73","Topic 39 - 5914.64","Topic 24 - 5773.78","Topic 39 - 6403.75","Topic 96 - 6062.90","Topic 26 - 5788.78","Topic 47 - 7431.06","Topic 24 - 6464.39","Topic 3 - 7436.90","Topic 25 - 6036.55","Topic 96 - 7277.87","Topic 12 - 6807.62","Topic 89 - 1829.71","Topic 30 - 6742.96","Topic 80 - 0.00"
"Topic 96 - 6907.97","Topic 47 - 6006.14","Topic 22 - 5413.26","Topic 3 - 6915.39","Topic 100 - 6504.97","Topic 23 - 6978.46","Topic 55 - 5780.96","Topic 100 - 5594.85","Topic 36 - 6223.39","Topic 48 - 5855.66","Topic 39 - 5567.03","Topic 12 - 7359.29","Topic 96 - 6362.45","Topic 78 - 7214.51","Topic 48 - 5946.37","Topic 45 - 6954.17","Topic 39 - 6510.88","Topic 36 - 1829.71","Topic 55 - 6561.82","Topic 46 - 0.00"
"Topic 39 - 6869.13","Topic 60 - 5982.62","Topic 89 - 5241.79","Topic 22 - 6872.42","Topic 48 - 6321.09","Topic 47 - 6597.68","Topic 22 - 5645.49","Topic 55 - 5411.16","Topic 25 - 5975.35","Topic 60 - 5660.63","Topic 1 - 5488.45","Topic 33 - 6967.27","Topic 22 - 6195.14","Topic 29 - 6943.02","Topic 62 - 5894.23","Topic 33 - 6376.73","Topic 97 - 6414.99","Topic 3 - 1568.32","Topic 78 - 6529.98","Topic 99 - 0.00"
"Topic 62 - 6588.38","Topic 100 - 5952.72","Topic 62 - 5240.09","Topic 78 - 6732.99","Topic 39 - 6302.31","Topic 96 - 6436.07","Topic 21 - 5601.76","Topic 11 - 5245.63","Topic 99 - 5969.00","Topic 36 - 5632.81","Topic 96 - 5404.20","Topic 62 - 6449.35","Topic 32 - 6001.04","Topic 21 - 6532.45","Topic 23 - 5383.39","Topic 62 - 6280.96","Topic 26 - 6407.86","Topic 39 - 1568.32","Topic 25 - 6468.46","Topic 3 - 0.00"
"Topic 45 - 6516.00","Topic 30 - 5848.10","Topic 96 - 4815.00","Topic 39 - 6264.83","Topic 78 - 6070.26","Topic 97 - 5940.85","Topic 48 - 5204.91","Topic 45 - 5011.21","Topic 24 - 5817.16","Topic 39 - 5632.59","Topic 48 - 5177.40","Topic 3 - 6251.09","Topic 97 - 5581.90","Topic 94 - 6144.10","Topic 3 - 5362.72","Topic 39 - 6274.70","Topic 62 - 6386.61","Topic 47 - 1372.28","Topic 96 - 6366.49","Topic 6 - 0.00"
"Topic 33 - 6436.45","Topic 26 - 5643.48","Topic 29 - 4654.89","Topic 45 - 6242.44","Topic 3 - 5945.24","Topic 3 - 5628.14","Topic 100 - 4982.44","Topic 47 - 4923.02","Topic 29 - 5676.38","Topic 97 - 5618.84","Topic 29 - 4911.71","Topic 11 - 6128.89","Topic 25 - 5342.23","Topic 24 - 5388.72","Topic 39 - 5321.70","Topic 3 - 6187.66","Topic 29 - 5863.64","Topic 33 - 1372.28","Topic 60 - 6290.76","Topic 11 - 0.00"
"Topic 98 - 6377.06","Topic 11 - 5507.06","Topic 23 - 4618.40","Topic 100 - 6066.69","Topic 1 - 5883.18","Topic 29 - 5547.07","Topic 78 - 4917.00","Topic 97 - 4838.43","Topic 46 - 5518.67","Topic 3 - 5615.73","Topic 23 - 4758.74","Topic 22 - 5785.99","Topic 100 - 5295.48","Topic 13 - 5288.74","Topic 24 - 5223.51","Topic 32 - 6061.46","Topic 78 - 5438.76","Topic 80 - 1372.28","Topic 22 - 6179.19","Topic 12 - 0.00"
"Topic 97 - 6283.32","Topic 32 - 5348.74","Topic 32 - 4437.32","Topic 62 - 5671.10","Topic 47 - 5572.77","Topic 78 - 5241.35","Topic 62 - 4616.47","Topic 62 - 4719.70","Topic 26 - 5193.56","Topic 78 - 5571.82","Topic 62 - 4537.89","Topic 39 - 5688.98","Topic 46 - 5274.83","Topic 23 - 5286.08","Topic 46 - 5007.56","Topic 22 - 5624.44","Topic 32 - 5366.04","Topic 6 - 0.00","Topic 47 - 5958.58","Topic 13 - 0.00"
"Topic 25 - 6240.25","Topic 78 - 4933.63","Topic 47 - 4013.32","Topic 46 - 5663.02","Topic 62 - 5563.53","Topic 13 - 5171.63","Topic 96 - 4333.65","Topic 3 - 4719.23","Topic 11 - 5176.00","Topic 24 - 5547.94","Topic 6 - 4481.47","Topic 13 - 5659.16","Topic 26 - 5113.75","Topic 97 - 4733.45","Topic 47 - 4817.96","Topic 97 - 5576.20","Topic 23 - 5308.32","Topic 45 - 0.00","Topic 1 - 5943.52","Topic 21 - 0.00"
