"Topic 1","Topic 3","Topic 6","Topic 11","Topic 12","Topic 13","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 29","Topic 30","Topic 32","Topic 33","Topic 36","Topic 39","Topic 42","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 55","Topic 58","Topic 60","Topic 62","Topic 63","Topic 70","Topic 78","Topic 80","Topic 86","Topic 87","Topic 89","Topic 94","Topic 96","Topic 97","Topic 98","Topic 99","Topic 100"
"ENGIEgroup - 6378.89","ENGIEgroup - 5992.85","Generalelectric - 2460.05","Adobe - 5241.75","Generalelectric - 6896.05","VMware - 4880.21","Adobe - 8067.48","ENGIEgroup - 5645.49","Intel - 5270.77","Rexel_Group - 5388.72","Oracle - 5295.93","Salesforce - 4145.41","Salesforce - 4129.89","Alstom - 7443.40","Salesforce - 6061.46","Intel - 8728.24","Forrester - 8905.72","ENGIEgroup - 5914.64","SolvayGroup - 8616.14","Alstom - 3281.23","VMware - 4761.95","Cisco - 6597.68","Capgemini - 6321.09","ENGIEgroup - 10713.38","SAFRAN - 7962.63","SAFRAN - 11579.25","Capgemini - 4387.19","Capgemini - 5563.53","ArcelorMittal - 3475.04","Oracle - 3913.67","Salesforce - 5117.11","SolvayGroup - 9128.25","Generalelectric - 14186.43","Adobe - 12874.68","MaerskLine - 3488.50","SolvayGroup - 10904.30","SAFRAN - 6124.28","SolvayGroup - 6414.99","Cisco - 8434.26","ENGIEgroup - 8688.59","ArcelorMittal - 6066.69"
"VMware - 5943.52","Capgemini - 5945.24","Oracle - 2459.62","Generalelectric - 5176.00","VMware - 6807.70","Intel - 4261.04","Generalelectric - 7148.82","Salesforce - 5624.44","Generalelectric - 4960.39","SAFRAN - 5223.51","Salesforce - 4721.65","SAFRAN - 3871.56","SAFRAN - 3924.28","SAFRAN - 7399.54","PublicisGroupe - 6001.04","VMware - 8653.36","Salesforce - 8899.43","Oracle - 5688.98","Capgemini - 8498.95","airliquidegroup - 3008.68","Oracle - 4494.51","MaerskLine - 6591.88","SAFRAN - 5946.37","Oracle - 10686.02","Intel - 7763.82","MaerskLine - 10286.59","SolvayGroup - 4166.50","Alstom - 5240.09","Generalelectric - 3441.70","Capgemini - 3839.38","airliquidegroup - 4933.63","ArcelorMittal - 9110.76","Adobe - 14185.94","ArcelorMittal - 12089.37","PublicisGroupe - 3452.90","Adobe - 10345.25","Intel - 6062.90","Adobe - 6283.32","Salesforce - 8176.80","Oracle - 8415.93","airliquidegroup - 5952.72"
"Capgemini - 5883.18","Cisco - 5628.14","PublicisGroupe - 2370.35","SolvayGroup - 4859.44","SolvayGroup - 6807.62","ENGIEgroup - 4229.28","Forrester - 7039.84","Alstom - 5413.26","MaerskLine - 4758.74","Cisco - 5042.94","TechnipGroup - 4508.93","Cisco - 3704.41","Adobe - 3816.52","Intel - 7357.47","SolvayGroup - 5366.04","PublicisGroupe - 8315.94","Cisco - 8124.22","Intel - 5632.59","airliquidegroup - 7729.26","SolvayGroup - 2748.29","Salesforce - 4468.68","airliquidegroup - 6006.14","Intel - 5855.66","SAFRAN - 10230.17","Cisco - 7346.62","Cisco - 10102.17","PublicisGroupe - 4034.47","PublicisGroupe - 5040.62","Intel - 3279.73","Generalelectric - 3807.30","ENGIEgroup - 4917.00","Oracle - 8502.48","SolvayGroup - 14126.29","Generalelectric - 11439.83","Cisco - 3405.87","Generalelectric - 10300.76","ArcelorMittal - 5512.10","MaerskLine - 6068.57","VMware - 8025.24","Salesforce - 8256.31","Forrester - 5594.85"
"Adobe - 5740.42","Intel - 5615.73","ENGIEgroup - 2044.83","Intel - 4666.50","ENGIEgroup - 6727.44","Generalelectric - 3955.99","MaerskLine - 6959.05","Capgemini - 5289.35","Alstom - 4618.40","TechnipGroup - 5031.70","airliquidegroup - 4167.26","VMware - 3652.83","ENGIEgroup - 3731.19","PublicisGroupe - 7261.01","airliquidegroup - 5348.74","airliquidegroup - 7311.26","PublicisGroupe - 7641.83","MaerskLine - 5567.03","ENGIEgroup - 6716.28","SAFRAN - 2608.50","Capgemini - 3721.84","VMware - 5958.58","Alstom - 5454.45","Intel - 10177.31","Capgemini - 7090.04","Rexel_Group - 9868.32","SAFRAN - 3666.88","Forrester - 4719.70","SAFRAN - 3040.76","SAFRAN - 3737.59","PublicisGroupe - 4618.27","Salesforce - 8430.77","MaerskLine - 13587.30","Salesforce - 11321.99","SAFRAN - 3349.58","airliquidegroup - 9931.16","MaerskLine - 5404.20","Cisco - 5940.85","Generalelectric - 7845.36","Alstom - 7795.04","PublicisGroupe - 5295.48"
"MaerskLine - 5488.45","SAFRAN - 5362.72","Salesforce - 1967.73","SAFRAN - 4602.55","Alstom - 6385.71","airliquidegroup - 3828.11","Rexel_Group - 6532.45","SolvayGroup - 5275.34","ArcelorMittal - 4596.18","VMware - 4947.45","ENGIEgroup - 4165.84","Intel - 3644.31","Intel - 3649.91","ArcelorMittal - 7068.05","Alstom - 4437.32","Oracle - 6967.27","Adobe - 7008.10","SAFRAN - 5321.70","Alstom - 6693.67","PublicisGroupe - 2463.62","Alstom - 2987.64","Capgemini - 5572.77","ENGIEgroup - 5204.91","Forrester - 10155.20","VMware - 6561.82","Oracle - 9754.52","Generalelectric - 2809.44","Cisco - 4670.16","ENGIEgroup - 2548.80","MaerskLine - 3689.98","Generalelectric - 4430.73","ENGIEgroup - 8310.40","Cisco - 12574.49","Forrester - 10975.91","ENGIEgroup - 3337.30","ENGIEgroup - 9518.22","Generalelectric - 5097.96","Intel - 5618.84","PublicisGroupe - 7481.99","Cisco - 7474.48","ENGIEgroup - 4982.44"
"Cisco - 4952.91","airliquidegroup - 4794.94","SolvayGroup - 1955.39","Cisco - 4426.79","SAFRAN - 6277.84","SolvayGroup - 3246.82","ENGIEgroup - 5601.76","Cisco - 4372.96","TechnipGroup - 4116.85","Oracle - 4885.12","ArcelorMittal - 4001.26","Oracle - 3328.34","Oracle - 3505.27","VMware - 6742.96","ENGIEgroup - 4270.59","MaerskLine - 6542.79","ENGIEgroup - 6727.01","Forrester - 4382.13","SAFRAN - 6555.67","ENGIEgroup - 2418.04","MaerskLine - 2876.11","Forrester - 4923.02","MaerskLine - 5177.40","MaerskLine - 8268.55","ENGIEgroup - 5780.96","ENGIEgroup - 8127.78","Alstom - 2617.36","ENGIEgroup - 4616.47","Forrester - 2540.12","Alstom - 3544.44","MaerskLine - 4420.45","Cisco - 7883.06","Oracle - 11883.54","MaerskLine - 9804.70","VMware - 2931.76","Forrester - 9136.33","SolvayGroup - 4871.27","PublicisGroupe - 5581.90","Forrester - 7059.28","Forrester - 7361.54","MaerskLine - 3609.68"
"Intel - 4355.20","VMware - 4729.55","SAFRAN - 1562.99","MaerskLine - 4240.01","Intel - 6141.91","Alstom - 3081.15","Alstom - 3773.30","SAFRAN - 4342.46","PublicisGroupe - 3670.78","Capgemini - 4480.77","Capgemini - 3917.48","Alstom - 3202.20","PublicisGroupe - 3503.96","airliquidegroup - 5848.10","ArcelorMittal - 4194.78","Adobe - 6436.45","Generalelectric - 6223.39","Rexel_Group - 3822.20","Forrester - 6510.43","MaerskLine - 2240.45","Forrester - 2614.43","SAFRAN - 4817.96","ArcelorMittal - 5016.85","TechnipGroup - 7880.82","Forrester - 5411.16","Generalelectric - 8083.53","ENGIEgroup - 2349.07","MaerskLine - 4537.89","airliquidegroup - 2502.16","airliquidegroup - 3386.69","Forrester - 4398.49","Capgemini - 6827.77","Intel - 11072.43","Rexel_Group - 9176.16","Adobe - 2601.87","PublicisGroupe - 8257.20","Alstom - 4815.00","Salesforce - 5576.20","Intel - 6795.77","Intel - 6630.28","Alstom - 2880.81"
"Alstom - 3984.03","Forrester - 4719.23","Alstom - 876.16","PublicisGroupe - 4127.47","Forrester - 4509.16","MaerskLine - 3008.44","SAFRAN - 3309.97","Generalelectric - 4218.94","ENGIEgroup - 3559.87","Salesforce - 4325.39","Forrester - 3633.43","Forrester - 1686.37","VMware - 3121.38","SolvayGroup - 5093.61","MaerskLine - 3498.03","Salesforce - 6376.73","Intel - 5632.81","airliquidegroup - 3620.82","MaerskLine - 6478.25","Rexel_Group - 2052.85","TechnipGroup - 2195.65","Alstom - 4013.32","Generalelectric - 4899.80","Alstom - 7355.05","PublicisGroupe - 5091.29","Forrester - 8039.36","Forrester - 2316.22","Rexel_Group - 1231.71","TechnipGroup - 2195.65","Forrester - 2311.65","SAFRAN - 3646.95","SAFRAN - 6718.78","Forrester - 8039.71","ENGIEgroup - 9145.34","Intel - 2245.41","Rexel_Group - 6144.10","ENGIEgroup - 4333.65","Forrester - 4838.43","Adobe - 6377.06","Generalelectric - 5969.00","TechnipGroup - 2744.57"
"TechnipGroup - 0.00","TechnipGroup - 1568.32","TechnipGroup - 0.00","TechnipGroup - 2195.65","TechnipGroup - 0.00","TechnipGroup - 2195.65","TechnipGroup - 1829.71","Forrester - 3615.71","airliquidegroup - 3481.44","MaerskLine - 3950.36","Rexel_Group - 3331.01","TechnipGroup - 0.00","TechnipGroup - 0.00","TechnipGroup - 0.00","Rexel_Group - 2258.13","TechnipGroup - 1372.28","TechnipGroup - 1829.71","Alstom - 3489.65","TechnipGroup - 6312.50","TechnipGroup - 0.00","Rexel_Group - 1791.57","TechnipGroup - 1372.28","SolvayGroup - 4707.97","Rexel_Group - 2676.03","TechnipGroup - 0.00","PublicisGroupe - 7919.60","Rexel_Group - 2052.85","TechnipGroup - 0.00","Alstom - 1596.41","TechnipGroup - 0.00","TechnipGroup - 0.00","TechnipGroup - 1372.28","TechnipGroup - 2195.65","TechnipGroup - 2744.57","TechnipGroup - 1829.71","TechnipGroup - 0.00","airliquidegroup - 3483.74","Rexel_Group - 4733.45","TechnipGroup - 3659.42","TechnipGroup - 5397.64","Rexel_Group - 769.82"
"VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","MaerskLine - 3001.54","VolvoTrucksFR - 0.00","ENGIEgroup - 3518.44","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","TechnipGroup - 1568.32","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","TechnipGroup - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","TechnipGroup - 6312.50","TechnipGroup - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00","VolvoTrucksFR - 0.00"
